Plans;Int1;Int2;Int3;Int4;Int5;Int6;Work1;Work2;Work3;Work4;Work5;Work6;Ext1;Ext2;Ext3;Ext4;Ext5;Ext6;Ext7;Ext8;Age;Gender
1;4;3;5;7;7;7;6;5;6;7;7;6;7;6;6;6;7;6;4;7;45;2
3;6;1;7;1;6;1;6;7;7;4;7;7;7;6;7;6;2;4;4;7;24;2
1;2;5;7;5;6;5;7;6;7;7;7;7;6;6;7;7;7;7;2;7;35;1
1;3;5;5;5;7;5;7;7;7;6;5;7;7;7;7;7;6;7;2;6;23;2
7;4;2;3;7;4;5;7;2;1;4;5;2;1;2;1;2;1;3;7;2;20;2
2;3;7;7;2;5;1;7;7;7;7;7;7;5;6;6;7;4;7;4;6;38;2
5;3;3;2;4;3;2;5;5;5;5;3;5;2;4;5;6;5;3;2;4;26;2
2;2;3;7;7;7;5;7;7;7;6;7;7;7;5;7;7;7;7;3;7;25;2
7;5;2;4;6;5;7;2;3;1;4;5;5;5;1;3;5;6;6;7;5;24;2
1;5;4;2;3;6;3;7;3;6;4;5;6;5;6;5;4;7;4;3;5;21;2
2;4;3;5;7;3;1;5;3;5;4;4;2;2;2;3;3;4;4;5;4;26;2
1;2;4;6;7;7;7;7;7;7;7;7;7;7;7;6;7;5;5;5;7;20;2
2;1;7;7;7;7;1;7;4;7;5;7;7;7;7;7;7;4;4;2;7;20;1
2;3;6;6;5;7;4;7;5;6;7;5;5;6;6;7;5;4;4;5;6;19;1
1;3;3;4;3;5;5;6;5;6;6;5;5;7;5;5;7;7;7;3;7;31;2
1;7;1;4;1;6;7;7;7;7;4;7;7;7;3;7;7;7;6;4;7;50;2
1;5;3;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;6;50;2
1;1;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;6;5;1;7;34;2
3;6;7;7;4;6;2;5;6;7;6;7;7;6;5;7;6;5;6;5;7;31;2
3;2;4;6;3;7;4;7;6;7;7;6;6;5;4;6;5;4;3;5;5;21;1
2;5;5;5;2;7;6;7;7;5;5;6;7;6;5;6;6;7;7;6;6;31;2
5;5;7;6;6;3;4;5;5;5;5;3;5;2;4;5;5;4;7;3;5;25;1
3;5;7;6;2;5;5;6;7;7;5;5;7;7;6;7;7;7;5;2;7;20;2
1;2;6;6;6;4;1;5;5;6;5;6;6;7;5;7;6;5;4;3;6;20;2
1;1;5;6;7;7;7;7;7;7;7;5;6;7;7;7;7;7;5;2;6;21;1
5;2;7;7;6;7;5;6;7;6;5;5;5;2;5;7;7;7;5;4;5;37;2
1;2;6;7;7;7;7;7;7;7;3;7;7;7;7;7;7;7;7;5;5;21;2
3;2;4;3;2;3;2;3;5;3;3;7;5;6;6;4;3;4;4;3;3;27;1
1;7;4;4;4;7;1;7;7;7;5;7;7;7;7;5;7;5;5;4;7;48;1
7;1;7;7;6;4;7;6;5;5;5;6;5;4;6;5;6;7;7;2;5;30;2
1;1;3;5;7;7;6;7;7;7;5;7;7;7;7;7;7;7;6;3;7;22;1
5;4;7;7;7;7;3;6;6;4;3;6;7;5;7;5;3;4;7;5;4;24;1
7;3;5;4;1;4;3;1;6;3;4;6;7;5;3;4;4;4;5;7;7;20;2
7;4;7;7;7;7;3;6;3;4;3;7;7;4;7;5;4;4;7;6;4;23;1
5;3;5;4;7;6;4;7;5;6;5;6;6;3;4;5;6;5;5;4;3;24;2
7;4;2;6;4;5;4;4;5;3;6;4;2;6;3;5;3;1;6;6;5;19;1
2;6;5;6;2;6;5;7;5;7;6;7;7;7;6;7;7;6;6;3;6;21;1
6;3;3;3;2;6;2;6;7;5;5;3;4;6;5;2;3;6;4;2;2;22;2
4;5;6;6;6;5;7;4;5;5;4;6;6;5;5;7;6;6;6;5;6;18;2
4;5;6;6;6;5;7;4;5;5;4;6;6;5;5;7;6;6;6;5;6;18;2
6;5;7;6;5;6;6;5;6;5;5;5;6;4;4;6;6;5;5;2;5;25;1
6;7;3;4;7;3;6;7;7;7;4;4;4;4;2;2;5;7;7;5;6;20;2
5;7;5;4;6;4;7;7;4;7;4;7;5;5;3;5;3;3;5;7;5;22;2
6;5;5;4;6;3;6;4;4;5;3;6;5;5;4;4;4;5;4;3;5;21;2
4;3;5;4;1;7;6;7;7;7;2;4;5;2;2;7;7;7;7;5;7;19;2
1;5;3;3;5;6;3;6;5;6;6;6;6;5;6;5;6;6;3;3;6;20;2
3;4;2;3;7;7;7;7;7;7;6;6;5;3;4;7;7;7;7;6;4;21;2
5;3;5;3;6;5;5;5;6;6;6;5;4;3;4;5;4;6;5;6;4;20;2
2;7;6;7;7;4;7;7;5;4;5;5;7;5;5;7;7;7;5;3;7;18;2
1;6;5;5;7;7;3;6;7;7;7;7;7;7;7;7;7;6;6;6;7;48;2
2;5;5;7;5;6;6;6;6;6;7;7;7;6;7;6;5;5;7;3;6;27;1
7;6;3;5;2;6;5;5;3;3;3;6;3;3;3;3;4;5;7;5;3;24;2
2;5;5;5;3;6;2;4;4;5;5;4;5;5;5;6;5;6;5;3;5;20;1
1;4;6;7;6;6;7;7;7;5;7;7;7;7;7;7;7;7;5;1;7;21;2
1;5;5;7;2;7;2;7;7;6;5;7;7;7;7;6;6;5;7;2;6;40;2
6;6;7;7;5;3;6;1;6;6;1;7;6;5;1;7;5;2;7;4;7;22;2
3;3;7;7;6;6;3;5;6;5;2;7;6;5;3;7;6;6;7;2;6;21;1
5;3;5;7;6;5;4;5;2;2;4;5;6;2;3;2;3;6;6;3;3;22;1
